STT,iso_code,country,population_2021,population_2020,area,density,growth_rate,world_percent,rank
31,SDN,Sudan,45532863,43849260,1886068,24.141686832076044,3.839524315803744,0.5822582639923137,33.0
32,DZA,Algeria,45061896,43851044,2381741,18.919729727119783,2.7612843151465283,0.5762357033679649,34.0
33,UKR,Ukraine,43312073,43733762,603500,71.76814084507042,-0.9642184452368863,0.5538595812630619,35.0
34,IRQ,Iraq,41750703,40222493,438317,95.25230141655469,3.7993915493999886,0.5338933299502534,36.0
35,AFG,Afghanistan,40374668,38928346,652230,61.90250065161063,3.715344083717298,0.5162970775403696,37.0
36,CAN,Canada,38261228,37742154,9984670,3.8319972517869894,1.3753163107754762,0.4892711489170823,38.0
37,POL,Poland,37764461,37846611,312679,120.77709408051068,-0.21706038619944135,0.4829186669519428,39.0
38,MAR,Morocco,37599544,36910560,446550,84.20007613929012,1.8666311212834463,0.48080976626360206,40.0
39,SAU,Saudi Arabia,35659227,34813871,2149690,16.58807874623783,2.4282160406695397,0.4559976737752652,41.0
40,UZB,Uzbekistan,34207969,33469203,447400,76.45947474295932,2.20730084310643,0.4374394960545943,42.0
41,AGO,Angola,34566172,32866272,1246700,27.726134595331676,5.1721716414931285,0.44202007024200796,43.0
42,PER,Peru,33587011,32971854,1285216,26.133358906207206,1.8657033966000158,0.4294989031889066,44.0
43,MYS,Malaysia,33015425,32365999,330803,99.80388630091021,2.006506890147275,0.4221896621231227,45.0
44,MOZ,Mozambique,32696683,31255435,801590,40.789784054192296,4.61119162155319,0.41811370134768366,46.0
45,GHA,Ghana,32120718,31072940,238533,134.6594307705852,3.3719950542175914,0.41074846316750746,47.0
46,YEM,Yemen,30882462,29825964,527968,58.493056397357414,3.5422090632175385,0.3949140802309883,48.0
47,NPL,Nepal,29960704,29136808,147181,203.56366650586693,2.827681055522624,0.3831269625858486,49.0
48,VEN,Venezuela,28842889,28435940,916445,31.47258046036587,1.4311079570430874,0.36883273686662316,50.0
49,MDG,Madagascar,28860961,27691018,587041,49.163450253048765,4.2249909338833325,0.3690638352569631,51.0
50,CMR,Cameroon,27624492,26545863,475442,58.10275911677975,4.0632659032407314,0.3532523038489708,52.0
51,CIV,Ivory Coast,27451054,26378274,322463,85.12931406083798,4.066907486062199,0.3510344396046271,53.0
52,PRK,North Korea,25950189,25778816,120538,215.2863744213443,0.6647822770448508,0.3318419049865684,54.0
53,AUS,Australia,25959987,25499884,7692024,3.374922777152021,1.804333698145455,0.3319671983701757,55.0
54,NER,Niger,25677816,24206644,1267000,20.266626677190214,6.0775545755124005,0.3283588947014831,56.0
55,TWN,Taiwan,23877855,23816775,36193,659.736827563341,0.2564578957478414,0.3053416254576434,57.0
56,LKA,Sri Lanka,21547096,21413249,65610,328.4117664990093,0.6250662848968025,0.27553669777004197,58.0
57,BFA,Burkina Faso,21847968,20903273,272967,80.03886184044225,4.519364024954364,0.2793841432602123,59.0
58,MLI,Mali,21212426,20250833,1240192,17.104146777273197,4.748412077666142,0.27125705532343575,60.0
59,MWI,Malawi,19953296,19129952,118484,168.40498295128455,4.303952252467758,0.2551557430044489,61.0
60,CHL,Chile,19275294,19116201,756102,25.492981105723832,0.8322417199944754,0.2464856914967429,62.0
61,ROU,Romania,19062255,19237691,238391,79.96214202717384,-0.9119389639848152,0.2437614235695832,63.0
62,KAZ,Kazakhstan,19123199,18776707,2724900,7.017945245697089,1.845328896062548,0.24454075404218598,64.0
63,ZMB,Zambia,19238117,18383955,752612,25.561799439817595,4.6462363512095095,0.24601028507478256,65.0
64,SYR,Syria,18646187,17500658,185180,100.69222918241711,6.545633884165958,0.23844089208043098,66.0
65,GTM,Guatemala,18446417,17915568,108889,169.40569754520658,2.963059837120441,0.23588630346609885,67.0
66,ECU,Ecuador,18033738,17643054,276841,65.14113877640956,2.214378531063832,0.2306091093189598,68.0
67,SEN,Senegal,17462688,16743927,196722,88.76835331076342,4.292666827799718,0.22330672243296912,69.0
68,NLD,Netherlands,17195298,17134872,41850,410.8792831541219,0.3526492640271828,0.21988743300219238,70.0
69,KHM,Cambodia,17080063,16718965,181035,94.3467451045378,2.159810729910605,0.21841384828490468,71.0
70,TCD,Chad,17203787,16425864,1284000,13.39858800623053,4.735963965122325,0.21999598735343165,72.0
71,SOM,Somalia,16634297,15893222,637657,26.086590439687793,4.662836774066337,0.2127135491996748,73.0
72,ZWE,Zimbabwe,15229891,14862924,390757,38.975350409589595,2.4690094627409787,0.19475449840376088,74.0
73,GIN,Guinea,13709966,13132795,245857,55.763984755365925,4.3948831912780095,0.1753182311982808,75.0
74,RWA,Rwanda,13466174,12952218,26338,511.2830890728225,3.968092569164594,0.1722007047054878,76.0
75,BEN,Benin,12644580,12123200,112622,112.27451119674664,4.300679688531073,0.16169444912154834,77.0
76,BDI,Burundi,12469663,11890784,27834,448.0011137457785,4.868299684865196,0.1594576719445291,78.0
77,TUN,Tunisia,12003225,11818619,163610,73.36486156102927,1.5619929875055671,0.15349302658190284,79.0
78,BOL,Bolivia,11927124,11673021,1098581,10.856845330476315,2.176840082785758,0.15251987371540993,80.0
79,BEL,Belgium,11658404,11589623,30528,381.8921645702306,0.5934705555133313,0.14908357671163894,81.0
80,HTI,Haiti,11623799,11402528,27750,418.87563963963964,1.9405433602092348,0.1486410601225667,82.0
81,SSD,South Sudan,11493450,11193725,619745,18.545450144817625,2.6776162537493153,0.1469742028802902,83.0
82,CUB,Cuba,11312548,11326616,109884,102.94991081504132,-0.12420302762978785,0.1446608916247968,84.0
83,DOM,Dominican Republic,11015774,10847910,48671,226.33136775492594,1.5474317172616603,0.14086584991968693,85.0
84,CZE,Czech Republic,10732960,10708981,78865,136.0928168389019,0.22391486174080377,0.13724932379277235,86.0
85,GRC,Greece,10340571,10423054,131990,78.3435942116827,-0.7913515558875539,0.13223159104116214,87.0
86,JOR,Jordan,10322902,10203134,89342,115.54366367441965,1.1738354117470262,0.13200564607331594,88.0
87,AZE,Azerbaijan,10272912,10139177,86600,118.62484988452655,1.3189926559127985,0.1313663915064117,89.0
88,PRT,Portugal,10150252,10196709,92090,110.22100119448366,-0.4556077848254736,0.12979785849628017,90.0
89,SWE,Sweden,10196161,10099265,450295,22.64329161993804,0.9594361569876586,0.13038492666815468,91.0
90,HND,Honduras,10156097,9904607,112492,90.28283789069445,2.539121441163683,0.1298726023039128,92.0
91,ARE,United Arab Emirates,10051436,9890402,83600,120.23248803827751,1.628184577330627,0.12853423418575385,93.0
92,TJK,Tajikistan,9873338,9537645,143100,68.99607267645004,3.5196633969916125,0.12625677949768596,94.0
93,HUN,Hungary,9618215,9660351,93028,103.39053833254503,-0.43617462760928705,0.12299435615557124,95.0
94,BLR,Belarus,9438767,9449323,207600,45.466122350674375,-0.1117117067540141,0.12069963814153174,96.0
95,PNG,Papua New Guinea,9220306,8947024,462840,19.921152017975974,3.054445813490614,0.11790603558221047,97.0
96,AUT,Austria,9065484,9006398,83871,108.08842150445327,0.6560447361975363,0.11592622620919087,98.0
